DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.0,6.77449545,1.18e-05,-1.18e-05,171.0118,0.00132,-0.00132,1.178,34.2,-0.025,2.5416,0.0779,-0.0779,482.0,13.7,-13.7,29.41,5.15,-3.44,1219.0,521.03,230.32,-135.32,41.9,1.0,6517.0,71.0,-84.0,4.265,0.08,-0.12,1.342,0.235,-0.157,293.57086,39.25264,13.889,0,0
1.0,2.539183147,5.07e-06,-5.07e-06,169.67494,0.0016,-0.0016,0.238,0.198,-0.238,2.4282,0.0559,-0.0559,382.0,11.4,-11.4,2.06,0.29,-0.28,1332.0,743.09,290.34,-212.44,38.9,1.0,5519.0,82.0,-74.0,4.35,0.126,-0.103,1.062,0.154,-0.14,291.43997,37.905659,15.026,1,2
0.0,2.178154774,2.71e-06,-2.71e-06,132.02433,0.00108,-0.00108,1.223,2.712,-0.016,3.5302,0.0518,-0.0518,663.0,8.9,-8.9,19.46,3.2,-1.37,1180.0,457.16,239.17,-102.44,89.2,1.0,5515.0,163.0,-147.0,4.624,0.035,-0.105,0.712,0.117,-0.05,288.00998,46.306061,14.489,0,0
1.0,8.9429645,0.000129,-0.000129,137.26373,0.00908,-0.00908,0.088,0.505,-0.088,1.803,0.699,-0.699,234.0,72.5,-72.5,0.89,0.06,-0.1,536.0,19.51,5.73,-5.93,7.2,1.0,4183.0,125.0,-138.0,4.655,0.056,-0.024,0.594,0.043,-0.064,284.27499,42.123779,15.537,1,1
1.0,10.10773789,4.79e-05,-4.79e-05,135.1032,0.00406,-0.00406,0.151,0.299,-0.151,3.828,0.109,-0.109,295.0,12.8,-12.8,1.98,0.33,-0.39,879.0,140.75,61.18,-55.29,25.3,1.0,5480.0,82.0,-74.0,4.26,0.18,-0.12,1.174,0.191,-0.234,290.57672,39.95689,15.017,1,2
0.992,2.685054445,4.51e-06,-4.51e-06,132.60443,0.00138,-0.00138,0.762,0.188,-0.519,1.0473,0.0482,-0.0482,253.0,11.0,-11.0,1.46,0.26,-0.18,1137.0,395.08,225.07,-121.21,28.9,1.0,5266.0,158.0,-142.0,4.484,0.112,-0.182,0.829,0.15,-0.1,284.09763,47.810638,14.077,1,2
0.998,2.714078374,3.87e-06,-3.87e-06,133.71179,0.00116,-0.00116,0.868,0.004,-0.601,1.3115,0.0408,-0.0408,144.0,4.7,-4.7,1.38,0.22,-0.09,1301.0,675.86,266.41,-120.21,36.8,1.0,5815.0,69.0,-87.0,4.461,0.04,-0.12,0.992,0.152,-0.065,289.04221,42.882488,12.987,1,2
0.0,0.99466172,2.54e-06,-2.54e-06,131.63284,0.00228,-0.00228,1.244,18.96,-2.227,1.576,0.118,-0.118,1370.0,81.8,-81.8,31.84,9.07,-6.61,1898.0,3078.85,2645.15,-1368.19,21.5,1.0,5750.0,173.0,-173.0,4.332,0.205,-0.205,1.021,0.291,-0.212,300.439,44.663319,14.997,0,0
0.0,8.780603773,5.97e-07,-5.97e-07,137.923785,5.67e-05,-5.67e-05,1.127,0.078,-0.137,3.16989,0.00185,-0.00185,90000.0,33.2,-33.2,52.34,11.8,-4.72,775.0,85.17,58.84,-22.72,1406.9,1.0,5487.0,164.0,-164.0,4.563,0.036,-0.153,0.832,0.188,-0.075,281.5979,43.976479,15.674,0,0
0.0,5.08840787,2.14e-07,-2.14e-07,134.3553111,3.45e-05,-3.45e-05,0.513,0.006,-0.007,4.77204,0.0011,-0.0011,387000.0,93.8,-93.8,55.3,12.7,-4.54,937.0,181.75,123.62,-44.55,3095.0,1.0,5618.0,152.0,-152.0,4.583,0.038,-0.152,0.791,0.181,-0.065,287.04648,42.000519,15.353,0,0
0.0,44.14599042,4.49e-05,-4.49e-05,211.531127,0.000821,-0.000821,1.902,69.64,-1.242,3.4015,0.0372,-0.0372,4470.0,53.7,-53.7,121.48,39.4,-13.2,624.0,35.87,33.31,-10.93,99.6,1.0,6692.0,160.0,-220.0,4.383,0.065,-0.208,1.152,0.374,-0.125,288.32147,51.726601,13.754,0,0
0.252,134.370692,0.00866,-0.00866,249.3136,0.0467,-0.0467,0.174,0.28,-0.174,8.73,1.2,-1.2,433.0,63.2,-63.2,1.95,0.62,-0.2,351.0,3.58,3.43,-1.09,8.1,1.0,5910.0,184.0,-205.0,4.505,0.039,-0.221,0.94,0.297,-0.099,294.07483,50.39724,15.541,0,0
0.0,623.005238,0.000145,-0.000145,201.386299,0.000179,-0.000179,0.895,0.033,-0.027,23.5615,0.0133,-0.0133,140000.0,69.4,-69.4,66.64,18.5,-12.3,229.0,0.64,0.54,-0.26,2386.6,2.0,5689.0,171.0,-171.0,4.299,0.17,-0.187,1.207,0.335,-0.223,297.48386,39.63649,14.023,0,0
0.992,39.399926,0.00119,-0.00119,160.2611,0.0223,-0.0223,0.544,0.437,-0.339,5.729,0.719,-0.719,341.0,44.3,-44.3,1.52,0.32,-0.13,499.0,14.66,9.17,-3.81,9.4,1.0,5913.0,147.0,-177.0,4.581,0.036,-0.144,0.795,0.17,-0.068,298.5697,46.753971,15.453,1,1
0.0,1.28805834,7.46e-06,-7.46e-06,131.9914,0.00478,-0.00478,0.214,0.26,-0.214,3.419,0.171,-0.171,92.6,3.8,-3.8,1.08,0.17,-0.14,1736.0,2142.23,875.49,-596.68,28.1,1.0,5631.0,76.0,-76.0,4.33,0.115,-0.115,1.132,0.176,-0.144,291.25308,40.216671,14.487,0,0
0.0,20.28281916,6.8e-05,-6.8e-05,137.05176,0.0024,-0.0024,0.719,0.015,-0.018,36.048,0.175,-0.175,2800.0,10.4,-10.4,22.46,4.57,-4.57,1141.0,401.55,210.61,-159.68,306.7,1.0,5043.0,65.0,-65.0,3.284,0.154,-0.126,3.956,0.805,-0.805,299.57739,40.458481,11.777,0,0
0.0,161.252567,0.00133,-0.00133,189.10238,0.00621,-0.00621,0.869,0.01,-0.015,23.626,0.357,-0.357,2910.0,36.2,-36.2,5.04,1.38,-0.36,318.0,2.41,1.94,-0.58,94.7,1.0,5985.0,161.0,-179.0,4.574,0.033,-0.187,0.811,0.222,-0.059,298.93143,40.404911,14.72,0,0
0.311,402.27493,0.0227,-0.0227,369.6734,0.0361,-0.0361,0.668,0.061,-0.479,15.67,1.6,-1.6,295.0,34.2,-34.2,1.73,0.52,-0.18,262.0,1.11,1.0,-0.34,11.1,1.0,6299.0,170.0,-226.0,4.486,0.054,-0.216,0.95,0.29,-0.097,290.4519,41.22551,14.619,1,1
0.998,25.2149143,0.000399,-0.000399,152.6912,0.0156,-0.0156,0.599,0.376,-0.389,5.76,0.514,-0.514,174.0,23.8,-23.8,1.19,0.13,-0.09,559.0,23.05,7.31,-4.98,9.9,3.0,5435.0,109.0,-109.0,4.495,0.063,-0.077,0.873,0.09,-0.068,290.97342,45.290321,14.779,1,2
0.146,341.01495,0.0229,-0.0229,448.7233,0.0483,-0.0483,0.087,0.385,-0.087,5.12,4.0,-4.0,386.0,92.8,-92.8,1.72,0.3,-0.21,234.0,0.71,0.39,-0.22,6.9,1.0,5327.0,159.0,-143.0,4.456,0.112,-0.138,0.896,0.155,-0.113,283.92191,43.37075,14.122,0,0
1.0,5.21104597,1.37e-05,-1.37e-05,131.53797,0.0022,-0.0022,0.833,0.102,-0.625,3.3447,0.0635,-0.0635,103.0,3.1,-3.1,1.18,0.19,-0.1,1107.0,354.82,164.45,-80.86,36.9,2.0,6023.0,120.0,-132.0,4.423,0.054,-0.126,1.031,0.168,-0.084,293.18033,41.61776,12.797,1,2
1.0,16.21774917,2.71e-05,-2.71e-05,180.0425,0.00136,-0.00136,0.336,0.079,-0.336,4.9274,0.0462,-0.0462,758.0,10.9,-10.9,2.22,0.59,-0.16,664.0,45.87,35.72,-10.34,80.3,1.0,5837.0,158.0,-158.0,4.577,0.033,-0.187,0.798,0.211,-0.056,285.51685,38.9324,14.2,1,2
0.0,17.08120242,2.59e-06,-2.59e-06,134.296431,0.000131,-0.000131,0.915,0.031,-0.029,7.20617,0.00594,-0.00594,134000.0,105.0,-105.0,39.24,7.15,-3.05,585.0,27.61,16.63,-7.23,1524.8,1.0,5431.0,189.0,-189.0,4.623,0.035,-0.105,0.708,0.129,-0.055,287.9726,44.333611,15.863,0,0
1.0,30.8278245,0.000316,-0.000316,143.1448,0.00784,-0.00784,0.023,0.426,-0.022,4.214,0.215,-0.215,641.0,52.1,-52.1,2.42,0.68,-0.27,585.0,27.66,23.77,-9.06,13.9,1.0,5982.0,189.0,-232.0,4.493,0.048,-0.192,0.96,0.27,-0.108,291.43143,38.654388,15.765,1,1
0.0,1.576341127,2.21e-06,-2.21e-06,170.88145,0.00116,-0.00116,0.01,0.377,-0.01,3.1232,0.0396,-0.0396,335.0,4.5,-4.5,2.96,1.53,-1.53,1797.0,2460.7,3903.35,-1951.42,88.7,1.0,5087.0,151.0,-151.0,3.967,0.609,-0.261,1.666,0.861,-0.861,298.42087,44.950802,14.111,0,0
0.49,19.30112039,7.41e-05,-7.41e-05,133.35614,0.00366,-0.00366,0.862,0.058,-0.577,6.0752,0.0887,-0.0887,232.0,5.4,-5.4,1.66,0.21,-0.2,669.0,47.49,18.09,-13.1,45.0,1.0,5687.0,114.0,-102.0,4.408,0.11,-0.099,0.943,0.122,-0.111,295.51068,42.930565,13.601,0,0
0.0,15.53753378,9.1e-07,-9.1e-07,140.2734399,4.72e-05,-4.72e-05,0.425,0.004,-0.003,5.8262,0.00229,-0.00229,209000.0,106.0,-106.0,40.9,9.95,-5.37,694.0,54.73,39.35,-17.71,2807.8,1.0,5704.0,154.0,-154.0,4.476,0.104,-0.169,0.868,0.211,-0.114,283.77585,42.359322,14.875,0,0
0.801,1.58487898,1.47e-05,-1.47e-05,132.69772,0.0087,-0.0087,0.417,0.033,-0.417,1.791,0.233,-0.233,42.9,6.0,-6.0,0.37,0.03,-0.04,943.0,187.91,62.01,-56.77,9.3,1.0,4201.0,127.0,-140.0,4.675,0.065,-0.025,0.566,0.049,-0.06,288.87769,46.059139,13.742,1,1
0.0,18.64632309,1.64e-06,-1.64e-06,139.0920079,7.11e-05,-7.11e-05,0.742,0.008,-0.009,8.853,0.00375,-0.00375,231000.0,86.6,-86.6,213.31,60.7,-142.0,1194.0,480.54,422.73,-432.36,2895.8,1.0,5786.0,192.0,-175.0,3.542,0.752,-0.141,3.478,0.989,-2.307,300.89032,45.403431,13.729,0,0
1.0,6.308201629,7.03e-06,-7.03e-06,174.047661,0.000883,-0.000883,0.03,0.383,-0.03,2.9785,0.0323,-0.0323,1330.0,17.3,-17.3,2.96,0.28,-0.1,819.0,106.44,31.16,-15.12,86.2,2.0,5191.0,103.0,-103.0,4.564,0.016,-0.088,0.837,0.078,-0.03,293.0614,43.58136,15.258,1,2
0.999,3.02558494,1.2e-05,-1.2e-05,134.36744,0.00348,-0.00348,0.839,0.035,-0.573,3.0008,0.0911,-0.0911,128.0,5.9,-5.9,1.62,0.29,-0.25,1484.0,1148.47,592.81,-389.77,23.8,1.0,6123.0,122.0,-134.0,4.263,0.137,-0.112,1.263,0.232,-0.19,286.3443,37.411968,13.925,1,2
0.0,11.37444271,1.24e-06,-1.24e-06,142.4558524,8.35e-05,-8.35e-05,0.978,0.362,-0.008,2.30694,0.00289,-0.00289,27900.0,31.4,-31.4,22.86,3.45,-2.01,687.0,52.84,25.96,-13.43,643.6,1.0,5297.0,159.0,-143.0,4.546,0.052,-0.097,0.808,0.122,-0.071,296.32794,46.83963,14.585,1,1
0.0,0.768934934,6.06e-07,-6.06e-07,131.740302,0.000776,-0.000776,0.989,0.103,-0.597,1.216,0.153,-0.153,847.0,23.6,-23.6,4.09,0.63,-0.46,1713.0,2026.85,1111.64,-639.01,58.9,1.0,5390.0,206.0,-187.0,4.535,0.081,-0.099,0.777,0.12,-0.087,289.92453,49.882469,15.503,0,0
0.998,25.3690868,0.000147,-0.000147,143.68699,0.00497,-0.00497,0.845,0.099,-0.585,4.746,0.118,-0.118,110.0,5.8,-5.8,1.67,0.29,-0.28,755.0,76.9,36.94,-28.39,21.6,1.0,6126.0,123.0,-136.0,4.224,0.13,-0.117,1.406,0.238,-0.238,287.5849,49.154789,12.476,1,2
0.959,49.18394185,2.48e-05,-2.48e-05,141.911924,0.000569,-0.000569,0.035,0.361,-0.035,11.3364,0.051,-0.051,1650.0,5.4,-5.4,8.2,0.5,-0.55,669.0,47.4,9.4,-8.38,355.7,1.0,5626.0,89.0,-78.0,3.907,0.04,-0.036,2.057,0.125,-0.138,294.55917,46.062328,12.654,1,2
1.0,5.640676975,3.73e-06,-3.73e-06,138.556259,0.000557,-0.000557,0.033,0.369,-0.033,2.8354,0.0263,-0.0263,1450.0,11.4,-11.4,4.59,0.76,-0.69,1125.0,379.36,164.09,-120.04,145.9,1.0,5794.0,78.0,-78.0,4.282,0.137,-0.112,1.216,0.201,-0.183,297.20154,41.730209,14.762,1,2
0.0,3.45423296,2.92e-05,-2.92e-05,131.71294,0.00641,-0.00641,0.893,0.074,-0.674,2.965,0.197,-0.197,150.0,17.4,-17.4,0.95,0.06,-0.07,743.0,71.74,21.51,-18.8,10.2,1.0,4186.0,146.0,-161.0,4.662,0.028,-0.038,0.635,0.041,-0.045,289.96838,39.815739,15.726,0,0
1.0,26.964501,0.000154,-0.000154,145.34426,0.00495,-0.00495,0.006,0.43,-0.006,3.792,0.131,-0.131,602.0,34.7,-34.7,2.2,0.52,-0.22,573.0,25.56,18.08,-7.42,20.1,1.0,5754.0,161.0,-182.0,4.534,0.042,-0.168,0.905,0.214,-0.092,294.36673,42.252682,15.789,1,2
1.0,33.4698571,0.000221,-0.000221,140.14977,0.00458,-0.00458,0.876,0.041,-0.61,4.749,0.12,-0.12,371.0,17.9,-17.9,2.45,0.7,-0.41,609.0,32.52,27.41,-12.57,23.2,1.0,5912.0,160.0,-178.0,4.342,0.136,-0.187,1.094,0.314,-0.183,288.82059,39.52282,14.74,1,2
0.0,7.047106212,1.23e-06,-1.23e-06,132.75015,0.000145,-0.000145,1.077,0.052,-0.045,3.16223,0.00768,-0.00768,69600.0,146.0,-146.0,119.64,23.1,-34.7,1846.0,2744.25,1615.68,-1578.66,548.5,1.0,8162.0,226.0,-340.0,3.973,0.234,-0.126,2.321,0.449,-0.674,290.11258,38.399872,9.002,0,0
0.502,56.6746666,0.000415,-0.000415,160.44836,0.00601,-0.00601,0.626,0.299,-0.408,5.516,0.17,-0.17,883.0,44.6,-44.6,4.01,0.64,-0.85,522.0,17.59,7.49,-7.21,22.7,1.0,5541.0,83.0,-72.0,4.189,0.195,-0.105,1.295,0.206,-0.274,289.64343,50.727089,14.682,1,2
0.0,359.04147,0.0211,-0.0211,274.206,0.0466,-0.0466,1.28,6.913,-0.118,14.04,1.5,-1.5,3660.0,394.0,-394.0,27.1,1.94,-2.5,181.0,0.25,0.08,-0.07,11.2,1.0,4596.0,161.0,-161.0,4.59,0.052,-0.028,0.696,0.05,-0.064,290.97659,38.996101,14.96,0,0
1.0,18.20795835,1.35e-05,-1.35e-05,185.84306,0.000596,-0.000596,0.64,0.003,-0.463,3.7965,0.0349,-0.0349,1600.0,10.9,-10.9,3.08,0.23,-0.12,551.0,21.86,5.36,-3.33,157.3,1.0,5176.0,102.0,-102.0,4.612,0.016,-0.06,0.738,0.054,-0.031,286.86548,41.989079,14.29,1,2
0.995,4.36125889,3.54e-05,-3.54e-05,132.53228,0.00683,-0.00683,0.374,0.084,-0.374,2.174,0.222,-0.222,189.0,21.2,-21.2,1.2,0.17,-0.05,1000.0,236.01,84.75,-33.13,10.7,1.0,5520.0,74.0,-82.0,4.544,0.021,-0.119,0.873,0.118,-0.039,294.0827,39.556099,14.951,1,2
0.0,1.570518376,1.85e-06,-1.85e-06,132.340523,0.000979,-0.000979,1.295,2.616,-0.008,3.2035,0.0536,-0.0536,2210.0,34.2,-34.2,450.76,56.3,-180.0,4106.0,67267.85,24114.36,-45097.68,76.7,1.0,5314.0,95.0,-116.0,2.782,0.304,-0.076,11.82,1.477,-4.728,295.20288,38.51955,10.055,0,0
0.0,0.955297055,8.13e-07,-8.13e-07,132.179352,0.000683,-0.000683,1.193,2.539,-0.039,1.7405,0.0376,-0.0376,846.0,15.5,-15.5,18.16,2.08,-2.08,1550.0,1367.42,543.24,-417.66,67.3,1.0,5319.0,159.0,-159.0,4.548,0.096,-0.064,0.734,0.084,-0.084,299.78207,44.19981,15.45,0,0
0.999,1.54287434,3.69e-06,-3.69e-06,132.61697,0.00204,-0.00204,0.013,0.435,-0.013,1.1121,0.0835,-0.0835,401.0,25.0,-25.0,1.05,0.08,-0.07,1007.0,243.62,72.53,-58.55,20.7,1.0,4530.0,139.0,-139.0,4.704,0.052,-0.032,0.539,0.039,-0.039,284.44101,40.625,15.121,1,1
0.998,76.5369531,0.000824,-0.000824,164.15644,0.01,-0.01,0.327,0.133,-0.327,5.574,0.21,-0.21,652.0,38.1,-38.1,3.73,0.63,-0.83,503.0,15.15,6.73,-6.47,17.7,2.0,5596.0,84.0,-75.0,4.105,0.203,-0.101,1.466,0.244,-0.326,291.60449,41.309361,15.28,1,2
0.0,1.549979213,4.22e-07,-4.22e-07,132.675027,0.000222,-0.000222,0.486,0.017,-0.016,7.5945,0.0183,-0.0183,371000.0,695.0,-695.0,136.64,73.0,-89.2,2141.0,4986.15,8378.43,-4454.73,672.7,1.0,5408.0,178.0,-162.0,3.777,0.777,-0.333,2.058,1.1,-1.344,285.9259,41.09082,13.939,0,0
0.0,4.52977632,5.88e-05,-5.88e-05,136.1237,0.0111,-0.0111,0.968,0.072,-0.023,26.752,0.825,-0.825,1580.0,43.2,-43.2,12.22,3.85,-3.5,2264.0,6213.27,5781.42,-3612.12,55.2,1.0,8912.0,249.0,-427.0,4.05,0.181,-0.165,2.299,0.724,-0.658,298.64676,48.784649,11.991,0,0
0.0,58.62157882,7.64e-06,-7.64e-06,178.5674958,9.96e-05,-9.96e-05,0.896,0.038,-0.036,8.52961,0.00582,-0.00582,143000.0,89.6,-89.6,40.43,4.96,-4.52,385.0,5.19,2.17,-1.57,1887.7,1.0,5232.0,157.0,-157.0,4.554,0.09,-0.067,0.725,0.089,-0.081,295.61038,43.260422,15.161,0,0
0.0,30.5528972,0.00013,-0.00013,173.90269,0.00345,-0.00345,1.216,73.76,-0.244,5.269,0.179,-0.179,865.0,28.5,-28.5,30.74,5.26,-2.43,670.0,47.63,20.89,-9.13,35.6,1.0,6284.0,75.0,-75.0,4.349,0.066,-0.123,1.138,0.195,-0.09,290.96353,38.472542,14.532,0,0
0.0,12.4276185,0.000659,-0.000659,141.3698,0.0445,-0.0445,0.303,0.155,-0.303,18.56,1.1,-1.1,147.0,13.8,-13.8,1.14,0.36,-0.11,768.0,82.45,76.65,-26.29,12.6,1.0,5869.0,182.0,-243.0,4.513,0.038,-0.212,0.942,0.289,-0.096,297.51108,40.61908,15.79,0,0
0.953,5.29655591,8.52e-05,-8.52e-05,131.8704,0.0141,-0.0141,0.37,0.08,-0.37,3.93,0.315,-0.315,135.0,17.2,-17.2,1.3,0.43,-0.15,1156.0,421.14,411.8,-140.13,9.3,1.0,6268.0,173.0,-260.0,4.429,0.054,-0.216,1.1,0.365,-0.122,296.82037,49.75045,15.591,1,1
0.0,4.43529675,5.33e-05,-5.33e-05,134.7488,0.0115,-0.0115,0.353,0.115,-0.353,2.117,0.348,-0.348,182.0,24.7,-24.7,1.15,0.29,-0.13,1026.0,261.33,207.37,-79.93,9.6,1.0,5659.0,186.0,-186.0,4.511,0.069,-0.161,0.842,0.215,-0.092,297.01929,43.478802,15.738,0,0
0.0,8.5893644,0.000269,-0.000269,132.0467,0.0253,-0.0253,0.791,0.179,-0.561,6.975,0.592,-0.592,179.0,21.5,-21.5,1.21,0.27,-0.1,792.0,93.09,61.51,-23.32,9.8,1.0,5602.0,152.0,-169.0,4.571,0.036,-0.144,0.817,0.181,-0.065,298.72095,46.933891,15.687,0,0
0.803,178.266978,0.00283,-0.00283,229.75414,0.00929,-0.00929,0.886,0.048,-0.663,5.276,0.282,-0.282,1860.0,177.0,-177.0,3.71,0.32,-0.1,241.0,0.8,0.21,-0.09,12.5,1.0,4899.0,77.0,-87.0,4.624,0.007,-0.063,0.713,0.062,-0.018,287.29132,47.598251,15.518,1,1
0.0,1.721313779,1.95e-07,-1.95e-07,132.5318957,9.44e-05,-9.44e-05,0.315,0.007,-0.004,3.54768,0.00441,-0.00441,535000.0,611.0,-611.0,83.69,24.6,-13.3,1627.0,1658.35,1431.25,-630.89,742.8,1.0,5960.0,160.0,-196.0,4.371,0.124,-0.186,1.073,0.316,-0.17,289.74515,45.18716,15.187,0,0
0.952,7.57299816,6.32e-05,-6.32e-05,131.94317,0.00618,-0.00618,0.411,0.043,-0.411,2.645,0.192,-0.192,30.2,3.1,-3.1,0.53,0.06,-0.05,875.0,138.36,44.63,-30.35,10.9,2.0,5495.0,74.0,-82.0,4.442,0.072,-0.099,0.961,0.115,-0.086,297.14883,46.296951,11.83,1,1
0.995,31.80475991,9.05e-05,-9.05e-05,190.25413,0.00224,-0.00224,0.87,0.078,-0.652,8.699,0.122,-0.122,361.0,5.2,-5.2,2.99,0.47,-0.57,664.0,45.9,19.95,-18.4,73.4,1.0,5867.0,104.0,-128.0,4.235,0.143,-0.117,1.356,0.212,-0.259,287.62082,43.141647,13.178,1,2
0.0,0.93374699,7.39e-06,-7.39e-06,131.52406,0.00725,-0.00725,1.167,0.125,-0.181,6.168,0.409,-0.409,172.0,8.6,-8.6,103.98,43.1,-43.1,3442.0,33070.3,40521.06,-22909.5,25.5,1.0,4909.0,132.0,-132.0,3.136,0.402,-0.268,5.272,2.186,-2.186,292.77695,47.539391,13.327,0,0
0.0,0.93374232,3.55e-06,-3.55e-06,131.52477,0.00356,-0.00356,1.188,0.104,-0.18,6.552,0.218,-0.218,351.0,8.8,-8.8,18.29,3.99,-1.59,1638.0,1706.25,1109.5,-446.15,49.1,1.0,5553.0,149.0,-166.0,4.577,0.034,-0.136,0.806,0.176,-0.07,292.77484,47.451099,15.239,0,0
0.0,3.735993484,1.06e-06,-1.06e-06,135.062493,0.000235,-0.000235,0.993,0.017,-0.019,17.4877,0.0322,-0.0322,618000.0,518.0,-518.0,571.07,163.0,-407.0,2063.0,4283.18,4276.57,-3999.94,1587.7,1.0,5467.0,267.0,-297.0,3.432,0.808,-0.202,4.055,1.156,-2.889,296.83719,40.473099,13.93,0,0
0.0,3.989144446,9.12e-07,-9.12e-07,132.572437,0.000189,-0.000189,0.252,0.003,-0.002,20.7947,0.0166,-0.0166,631000.0,366.0,-366.0,60.26,7.37,-6.63,996.0,233.19,97.41,-69.6,2055.9,1.0,5538.0,166.0,-166.0,4.555,0.095,-0.086,0.719,0.088,-0.079,294.48337,47.45266,14.404,0,0
0.93,77.792718,0.0026,-0.0026,190.1476,0.0329,-0.0329,0.576,0.387,-0.367,6.08,1.4,-1.4,288.0,41.6,-41.6,2.17,0.31,-0.42,453.0,10.0,3.94,-3.85,9.1,2.0,5497.0,83.0,-74.0,4.243,0.176,-0.108,1.241,0.181,-0.241,283.3457,45.27446,15.245,1,1
1.0,25.0901574,0.000482,-0.000482,138.4988,0.0162,-0.0162,0.935,0.043,-0.651,8.273,0.545,-0.545,37.7,3.4,-3.4,1.35,0.27,-0.43,852.0,124.33,76.2,-73.41,12.1,2.0,6033.0,183.0,-183.0,3.985,0.266,-0.114,1.788,0.351,-0.571,298.67377,43.795479,12.014,1,1
0.0,4.592401261,1.12e-07,-1.12e-07,133.139791,1.98e-05,-1.98e-05,0.272,0.002,-0.002,4.96038,0.00157,-0.00157,87400.0,18.3,-18.3,52.18,16.5,-11.0,1678.0,1872.74,1805.19,-897.69,5784.8,1.0,7201.0,228.0,-314.0,4.138,0.132,-0.198,1.724,0.546,-0.364,291.26416,41.74884,12.93,0,0
1.0,3.97076603,1.11e-05,-1.11e-05,134.63962,0.00232,-0.00232,0.775,0.17,-0.542,1.814,0.07,-0.07,349.0,17.3,-17.3,1.6,0.19,-0.18,958.0,198.43,77.8,-60.0,23.9,1.0,5178.0,153.0,-153.0,4.521,0.085,-0.076,0.778,0.088,-0.088,295.30817,43.044411,15.443,1,2
1.0,13.93068791,7.53e-05,-7.53e-05,134.42851,0.00409,-0.00409,0.912,0.008,-0.629,2.312,0.117,-0.117,187.0,13.8,-13.8,1.4,0.11,-0.06,665.0,46.19,10.38,-6.25,14.9,3.0,5497.0,74.0,-82.0,4.57,0.014,-0.063,0.839,0.065,-0.035,288.83936,46.98674,14.279,1,2
0.926,19.8751355,0.000283,-0.000283,148.3935,0.0119,-0.0119,0.919,0.023,-0.639,8.041,0.271,-0.271,109.0,8.4,-8.4,2.49,0.51,-0.42,1061.0,299.47,154.58,-102.25,15.2,1.0,6918.0,72.0,-83.0,4.021,0.148,-0.121,2.004,0.413,-0.338,297.16089,40.042858,13.543,1,1
0.0,2.252417903,1.26e-06,-1.26e-06,132.436339,0.00051,-0.00051,1.198,24.64,-0.027,1.9767,0.0224,-0.0224,32300.0,306.0,-306.0,27.09,1.3,-1.94,782.0,88.43,15.77,-18.1,129.5,1.0,3979.0,71.0,-79.0,4.699,0.042,-0.018,0.544,0.026,-0.039,291.8819,37.18911,15.625,0,0
0.0,2.172042913,8.79e-07,-8.79e-07,131.764641,0.000337,-0.000337,0.881,0.017,-0.02,8.0331,0.024,-0.024,154000.0,320.0,-320.0,100.79,19.1,-15.9,2169.0,5231.88,2467.49,-1694.32,583.6,1.0,7128.0,71.0,-85.0,4.105,0.115,-0.126,1.775,0.336,-0.28,288.47314,42.38007,13.908,0,0
1.0,9.30413878,2.54e-05,-2.54e-05,140.33868,0.00228,-0.00228,0.488,0.011,-0.476,1.9254,0.0716,-0.0716,637.0,31.1,-31.1,1.67,0.12,-0.16,583.0,27.35,7.87,-7.4,24.2,1.0,4458.0,133.0,-133.0,4.611,0.052,-0.024,0.658,0.046,-0.061,283.89941,41.221611,14.796,1,2
0.998,47.4277116,0.000129,-0.000129,216.55737,0.00205,-0.00205,0.678,0.197,-0.461,5.2679,0.0775,-0.0775,820.0,17.5,-17.5,2.33,0.17,-0.12,407.0,6.46,1.54,-1.1,49.9,1.0,5132.0,102.0,-102.0,4.571,0.032,-0.052,0.77,0.054,-0.04,284.96851,42.079201,14.157,1,2
0.0,1.020713389,4.47e-06,-4.47e-06,132.20309,0.00301,-0.00301,0.425,0.029,-0.425,0.873,0.156,-0.156,102.0,13.5,-13.5,0.9,0.26,-0.08,1724.0,2079.36,1761.1,-558.15,11.3,1.0,5815.0,157.0,-157.0,4.52,0.06,-0.192,0.87,0.251,-0.084,287.24149,43.679661,15.186,0,0
